360050175002,"[u'360050173001', u'360050175003', u'360050175005', u'360050181011', u'360050183023', u'360050175001']"
360050141001,"[u'360050173004', u'360050185001', u'360050141002', u'360050141003', u'360050143001', u'360050173003']"
360050145001,"[u'360050149001', u'360050145003', u'360050149003', u'360050185001', u'360050185003', u'360050145004', u'360050147012', u'360050185002']"
360050075002,"[u'360050071002', u'360050075004', u'360050133004', u'360050141002', u'360050185005', u'360050075001', u'360050071001', u'360050077001', u'360050075003']"
360050418001,"[u'360050434003', u'360050414001', u'360050420001', u'360050451012', u'360050434002', u'360050435001', u'360050434001', u'360050451022', u'360050414004', u'360050418003', u'360050418002']"
360050125001,"[u'360050127012', u'360050123001', u'360050125002', u'360050121012', u'360050123002', u'360050127011', u'360050131002']"
360050127012,"[u'360050125001', u'360050129011', u'360050159001', u'360050119001', u'360050127011', u'360050131002']"
360050054003,"[u'360050050022', u'360050056003', u'360050054002', u'360050157001', u'360050052002', u'360050157003', u'360050052001', u'360050123003']"
360050027011,"[u'360050019002', u'360050019003', u'360050027012', u'360050027022']"
360050458001,"[u'360050404001', u'360050424001', u'360050426001', u'360050458002', u'360050458004', u'360050484003', u'360050426002', u'360050460001']"
360050224011,"[u'360050330003', u'360050224031', u'360050332011', u'360050224032', u'360050224012', u'360050334001']"
360050389001,"[u'360050389002', u'360050393001', u'360050397001', u'360050389004', u'360050389005']"
360050071002,"[u'360050075002', u'360050037001', u'360050065004', u'360050141002', u'360050141003', u'360050075001', u'360050065001', u'360050067001', u'360050069001', u'360050073003', u'360050071001', u'360050043001', u'360050043002']"
360050211003,"[u'360050201002', u'360050211004', u'360050199006', u'360050199005', u'360050201003', u'360050211001', u'360050199004']"
360050197001,"[u'360050221023', u'360050179012', u'360050181024', u'360050179013', u'360050197004', u'360050221011', u'360050197002']"
360850128062,"[u'360850132011', u'360850132012', u'360850128061', u'360850128063', u'360850128064', u'360850134002']"
360850138004,"[u'360850132011', u'360850134003', u'360850138002', u'360850279002', u'360850138003', u'360850138005']"
360850146064,"[u'360850138001', u'360850138002', u'360850146063']"
360850156032,"[u'360850156013', u'360850156014', u'360850156031', u'360850156030', u'360850156033']"
360850170082,"[u'360850170121', u'360850170081', u'360850170071', u'360850170083', u'360850170123']"
360850170121,"[u'360850170082', u'360850170081', u'360850279001', u'360850170122', u'360850170123', u'360850146071', u'360850228001']"
360850173002,"[u'360850187022', u'360850177001', u'360850173001']"
360850187023,"[u'360850187022', u'360850181002', u'360850187021', u'360850173001', u'360850181001', u'360850187024']"
360850213004,"[u'360850213002', u'360850213003', u'360850247002', u'360850213005', u'360850247001']"
