lat,lng,startTimeStamp,endTimeStamp,durationSeconds,gid
-73.9809341431,40.6807174683,2017-02-07 23:06:40,2017-02-08 01:25:20,8320.0,360470127002
-73.9851074219,40.6746330261,2017-02-08 01:25:20,2017-02-08 01:36:00,640.0,360470135003
-73.9915847778,40.6641540527,2017-02-08 01:36:00,2017-02-08 14:58:08,48128.0,360470143001
-74.0019836426,40.6792984009,2017-02-08 14:58:08,2017-02-08 15:08:48,640.0,360470063002
-74.0123519897,40.7082176208,2017-02-08 15:08:48,2017-02-08 15:15:12,384.0,360610013002
-74.0150756836,40.7215995789,2017-02-08 15:15:12,2017-02-08 15:21:36,384.0,360610039000
-73.9993667603,40.7276954651,2017-02-08 15:21:36,2017-02-08 22:32:32,25856.0,360610065004
-74.0019454956,40.7284049988,2017-02-08 22:32:32,2017-02-08 22:56:00,1408.0,360610065003
-74.0023574829,40.6772880554,2017-02-08 22:56:00,2017-02-08 23:04:32,512.0,360470059002
-73.995262146,40.6660614014,2017-02-08 23:04:32,2017-02-09 11:39:44,45312.0,360470018001
-73.991897583,40.6636428833,2017-02-09 11:39:44,2017-02-09 16:19:12,16768.0,360470143001
-74.0036392212,40.6729660034,2017-02-09 16:19:12,2017-02-09 17:08:16,2944.0,360470053001
-73.9868392944,40.6695137024,2017-02-09 17:08:16,2017-02-09 17:25:20,1024.0,360470137003
-73.9971847534,40.6753616333,2017-02-09 17:25:20,2017-02-09 17:55:12,1792.0,360470077003
-73.9836196899,40.6724243164,2017-02-09 17:55:12,2017-02-09 18:35:44,2432.0,360470135002
-74.0009078979,40.6742286682,2017-02-09 18:35:44,2017-02-09 18:59:12,1408.0,360470053001
-73.9835662842,40.672416687,2017-02-09 18:59:12,2017-02-09 19:14:08,896.0,360470135002
-74.0006637573,40.6743927002,2017-02-09 19:14:08,2017-02-09 19:20:32,384.0,360470053001
-73.9853439331,40.6690254211,2017-02-09 19:20:32,2017-02-09 20:33:04,4352.0,360470137003
-74.0014343262,40.6745147705,2017-02-09 20:33:04,2017-02-09 20:43:44,640.0,360470053001
-73.9852142334,40.6689758301,2017-02-09 20:43:44,2017-02-09 21:09:20,1536.0,360470137003
-74.0012512207,40.6744918823,2017-02-09 21:09:20,2017-02-09 21:39:12,1792.0,360470053001
-73.9939041138,40.6651916504,2017-02-09 21:39:12,2017-02-10 03:05:36,19584.0,360470143001
-74.00390625,40.6732063293,2017-02-10 03:05:36,2017-02-10 04:39:28,5632.0,360470053001
-73.9918823242,40.6639251709,2017-02-10 04:39:28,2017-02-10 15:15:12,38144.0,360470143001
-74.0006713867,40.6753768921,2017-02-10 15:15:12,2017-02-10 15:42:56,1664.0,360470065007
-73.9863739014,40.6731300354,2017-02-10 15:42:56,2017-02-10 16:25:36,2560.0,360470135002
-73.9976806641,40.6758384705,2017-02-10 16:25:36,2017-02-10 22:06:56,20480.0,360470077003
-73.9959716797,40.6664009094,2017-02-10 22:06:56,2017-02-11 15:13:04,61568.0,360470018001
-73.9998397827,40.6498985291,2017-02-11 15:13:04,2017-02-11 15:28:00,896.0,360470088002
-74.002204895,40.6421012878,2017-02-11 15:28:00,2017-02-11 16:00:00,1920.0,360470094002
-74.0194549561,40.6320304871,2017-02-11 16:00:00,2017-02-11 19:12:00,11520.0,360470130002
-74.0249099731,40.6353683472,2017-02-11 19:12:00,2017-02-11 19:37:36,1536.0,360470068001
-74.0279006958,40.6308860779,2017-02-11 19:37:36,2017-02-11 20:07:28,1792.0,360470066002
-74.0261917114,40.6357574463,2017-02-11 20:07:28,2017-02-11 20:35:12,1664.0,360470068004
-74.0228424072,40.6284217834,2017-02-11 20:35:12,2017-02-11 20:41:36,384.0,360470136001
-74.01222229,40.6464080811,2017-02-11 20:41:36,2017-02-11 20:48:00,384.0,360470078002
-73.9975738525,40.660446167,2017-02-11 20:48:00,2017-02-12 16:42:40,71680.0,360470101001
-74.003944397,40.6732330322,2017-02-12 16:42:40,2017-02-12 18:35:44,6784.0,360470053001
-73.9914855957,40.6644439697,2017-02-12 18:35:44,2017-02-12 22:43:12,14848.0,360470143001
-74.0037765503,40.6731071472,2017-02-12 22:43:12,2017-02-13 12:39:28,50176.0,360470053001
-74.0040283203,40.6732940674,2017-02-13 12:39:28,2017-02-13 13:00:48,1280.0,360470053001
-73.991859436,40.6640815735,2017-02-13 13:00:48,2017-02-13 13:20:00,1152.0,360470143001
-74.00390625,40.6732063293,2017-02-13 13:20:00,2017-02-13 13:34:56,896.0,360470053001
-73.9918289185,40.6640586853,2017-02-13 13:34:56,2017-02-13 14:56:00,4864.0,360470143001
-74.0017776489,40.6744194031,2017-02-13 14:56:00,2017-02-13 15:06:40,640.0,360470053001
-73.9843063354,40.672504425,2017-02-13 15:06:40,2017-02-13 15:25:52,1152.0,360470135002
-74.0020065308,40.6761856079,2017-02-13 15:25:52,2017-02-13 16:08:32,2560.0,360470059002
-73.9859008789,40.6726913452,2017-02-13 16:08:32,2017-02-13 16:23:28,896.0,360470135002
-74.001625061,40.6809692383,2017-02-13 16:23:28,2017-02-13 16:29:52,384.0,360470063002
-73.9854507446,40.6690750122,2017-02-13 16:29:52,2017-02-13 16:42:40,768.0,360470137003
-74.001411438,40.6743965149,2017-02-13 16:42:40,2017-02-13 16:53:20,640.0,360470053001
-73.9856872559,40.6691360474,2017-02-13 16:53:20,2017-02-13 16:59:44,384.0,360470137003
-74.0004577637,40.6755218506,2017-02-13 16:59:44,2017-02-13 17:10:24,640.0,360470065007
-74.0075759888,40.6967124939,2017-02-13 17:10:24,2017-02-13 17:16:48,384.0,360610005000
-74.0112533569,40.7315177917,2017-02-13 17:16:48,2017-02-13 20:54:24,13056.0,360610069000
-73.9953231812,40.7230529785,2017-02-13 20:54:24,2017-02-13 21:11:28,1024.0,360610043003
-73.991355896,40.7029685974,2017-02-13 21:11:28,2017-02-13 21:37:04,1536.0,360470021001
-73.9972915649,40.6677894592,2017-02-13 21:37:04,2017-02-14 15:00:16,62592.0,360470018001
-74.0083084106,40.6532707214,2017-02-14 15:00:16,2017-02-14 15:17:20,1024.0,360470084002
-74.0096359253,40.6418151855,2017-02-14 15:17:20,2017-02-14 16:00:00,2560.0,360470100001
-74.011177063,40.6330833435,2017-02-14 16:00:00,2017-02-14 17:18:56,4736.0,360470120001
-74.005241394,40.6333084106,2017-02-14 17:18:56,2017-02-14 17:23:12,256.0,360470116003
-73.9946365356,40.6403961182,2017-02-14 17:23:12,2017-02-14 17:27:28,256.0,360470112002
-73.980796814,40.647228241,2017-02-14 17:27:28,2017-02-14 17:33:52,384.0,360470498001
-73.9823074341,40.6620445251,2017-02-14 17:33:52,2017-02-14 17:38:08,256.0,360470169002
-73.9712295532,40.672832489,2017-02-14 17:38:08,2017-02-14 17:42:24,256.0,360470159001
-73.9652786255,40.6796302795,2017-02-14 17:42:24,2017-02-14 18:33:36,3072.0,360470203002
-73.9828567505,40.6732559204,2017-02-14 18:33:36,2017-02-14 19:22:40,2944.0,360470135001
-73.9995269775,40.6750869751,2017-02-14 19:22:40,2017-02-14 19:58:56,2176.0,360470065007
-73.9714431763,40.6762123108,2017-02-14 19:58:56,2017-02-14 20:20:16,1280.0,360470159001
-73.9643630981,40.6791343689,2017-02-14 20:20:16,2017-02-14 20:39:28,1152.0,360470203001
-73.9809112549,40.6791305542,2017-02-14 20:39:28,2017-02-14 21:00:48,1280.0,360470131001
-73.9956054688,40.6769142151,2017-02-14 21:00:48,2017-02-14 22:00:32,3584.0,360470077003
-74.0020675659,40.6780090332,2017-02-14 22:00:32,2017-02-14 22:04:48,256.0,360470065006
-73.9993438721,40.6931190491,2017-02-14 22:04:48,2017-02-14 22:11:12,384.0,360470007001
-73.9939956665,40.7177085876,2017-02-14 22:11:12,2017-02-14 22:15:28,256.0,360610016001
-73.9916992188,40.722568512,2017-02-14 22:15:28,2017-02-14 22:21:52,384.0,360610036013
-73.998840332,40.7264633179,2017-02-14 22:21:52,2017-02-14 22:26:08,256.0,360610055013
-74.0011520386,40.7309379578,2017-02-14 22:26:08,2017-02-14 22:32:32,384.0,360610065001
-74.0063247681,40.7335624695,2017-02-14 22:32:32,2017-02-15 00:08:32,5760.0,360610075003
-74.0040054321,40.7377586365,2017-02-15 00:08:32,2017-02-15 00:14:56,384.0,360610077004
-74.0038909912,40.7253303528,2017-02-15 00:14:56,2017-02-15 01:46:40,5504.0,360610047001
